id,name,countryid,phone_number,Email
163,MEXICAN GREEN,21,0525459896,0525459896@super.student.com
164,MICLEN DE,57,0562643318,0562643318@super.student.com
165,MLEKOVITA,9,0561083994,0561083994@super.student.com
166,MORDOVPROM,28,0585806020,0585806020@super.student.com
167,MORE,33,0581558436,0581558436@super.student.com
168,N.R.CO.LTD,33,0544356117,0544356117@super.student.com
169,NV AOR,8,0525740314,0525740314@super.student.com
170,O.T.G,2,0556860909,0556860909@super.student.com
171,OBST,9,0526694453,0526694453@super.student.com
172,P&G,27,0512446430,0512446430@super.student.com
173,PAKTEN,14,0514232098,0514232098@super.student.com
174,PECANS J&G,10,0524392002,0524392002@super.student.com
175,PIP D.O.O,36,0509359164,0509359164@super.student.com
176,PONTU BORGES ACEITES,19,0553296099,0553296099@super.student.com
177,PRC,33,0545393417,0545393417@super.student.com
178,PROCHAMP,4,0509810040,0509810040@super.student.com
179,PRODUC UES DAILY JIEYANG,33,0552850015,0552850015@super.student.com
180,PRODUCTS FOOD HIQ,22,0511859936,0511859936@super.student.com
181,PUB FOODS PRESIDENT THAI,22,0509688649,0509688649@super.student.com
182,Raal El Conservas,19,0565344918,0565344918@super.student.com
183,RIVOIRA,3,0535355613,0535355613@super.student.com
184,RNB,19,0528652381,0528652381@super.student.com
185,ROUVEEN,4,0548194734,0548194734@super.student.com
186,S.A MEVGAL,21,0555828519,0555828519@super.student.com
187,S.L AEROLS FOOD,19,0589989273,0589989273@super.student.com
188,SANAVI A.P,14,0522339517,0522339517@super.student.com
189,SAS FIDELE,6,0508547383,0508547383@super.student.com
190,Schwartauer,2,0506344627,0506344627@super.student.com
191,SETIA LAL CHAMAN,24,0587621480,0587621480@super.student.com
192,"SLANY,SPOL.SR.O EKOFRUKT",27,0586706489,0586706489@super.student.com
193,SOCICO CON S.R.L AR,3,0524829981,0524829981@super.student.com
194,SPA MENNUCCI PASTIFICI,3,0524411234,0524411234@super.student.com
195,SPA POLLI F.LLI,3,0584343632,0584343632@super.student.com
196,SRI VALPIZZA,3,0516827907,0516827907@super.student.com
197,SRL NUTKAO,3,0579637552,0579637552@super.student.com
198,SWARZEDZ DRAMERSSA,9,0544662333,0544662333@super.student.com
199,TECHONGGIES TAIKONE,33,0551846372,0551846372@super.student.com
200,Tic Ve San Gida Oz Kemal,14,0542120076,0542120076@super.student.com
201,Tuffy's,18,0515664111,0515664111@super.student.com
202,TYF סחר,33,0507537431,0507537431@super.student.com
203,UAB FOODS CERERA,32,0542234202,0542234202@super.student.com
204,URUNLERSAN BOZKURTZIRAI,14,0521612970,0521612970@super.student.com
205,VANDERSTERRE,4,0541538607,0541538607@super.student.com
206,want-want,33,0585716813,0585716813@super.student.com
207,WEIFANG,33,0574771990,0574771990@super.student.com
208,א. לואקר,16,0563216504,0563216504@super.student.com
209,א. לואקר אס. פי. אי-אי.,3,0519165680,0519165680@super.student.com
210,א.ג פאפאגופולוס,21,0511199380,0511199380@super.student.com
211,"א.ג. גילרו בע""\מ",10,0553297111,0553297111@super.student.com
212,א.י.ן תעשיות,10,0526850699,0526850699@super.student.com
213,א.ל ארמן,10,0531489295,0531489295@super.student.com
214,א.ל ייצור ושיווק תבלינים,10,0502640324,0502640324@super.student.com
215,"א.מ.ש.י תעשיות בע""מ",10,0569762498,0569762498@super.student.com
216,אבוט,7,0568724562,0568724562@super.student.com
217,אגה אזיר איסק סאניי,14,0505904193,0505904193@super.student.com
218,אגס ירוק מסחר ושירותים,10,0556658625,0556658625@super.student.com
219,אגריקולה קנטלחוס,49,0511376151,0511376151@super.student.com
220,"אגרנה צוקר בע""מ",9,0552219253,0552219253@super.student.com
221,אדיר,25,0562780455,0562780455@super.student.com
222,אדרגנה,3,0575855365,0575855365@super.student.com
223,אוגוסט שטורק,2,0515227848,0515227848@super.student.com
224,אודסה,21,0561630836,0561630836@super.student.com
225,אוליביה,10,0521935256,0521935256@super.student.com
226,אוליביה בעמ,10,0564092345,0564092345@super.student.com
227,"אוליביה גורמה בע""מ",10,0546337256,0546337256@super.student.com
228,"אוליביה גרומה בע""מ",10,0532576773,0532576773@super.student.com
229,אולקר,14,0569923394,0569923394@super.student.com
230,"אולקר מקבוצת פלאדיס, ציק",14,0573353541,0573353541@super.student.com
231,אופרה,10,0561406737,0561406737@super.student.com
232,אוקיי סנקס,37,0585546137,0585546137@super.student.com
233,אורביט,27,0562715975,0562715975@super.student.com
234,אחדות,10,0561688301,0561688301@super.student.com
235,"אחדות בע""מ א.ת. ברקן",10,0517633955,0517633955@super.student.com
236,אחים גטניו,10,0503850435,0503850435@super.student.com
237,"אחים פפושדו ובניהם בע""\מ",10,0524452684,0524452684@super.student.com
238,"אחים פפושדו ובניהם בע""מ",10,0514947087,0514947087@super.student.com
239,אידיאל סנייק,21,0578920509,0578920509@super.student.com
240,"איי, בי, אינבוו",5,0577965900,0577965900@super.student.com
241,איי. אס. לטבייאס בלזם,31,0518067524,0518067524@super.student.com
242,אייבי מאורי,3,0529589858,0529589858@super.student.com
243,אייברקקאו אס אי. יו,19,0581599595,0581599595@super.student.com
244,אינבב בלגיה,8,0537083593,0537083593@super.student.com
245,אינבב.ברוורייליין1,8,0523191909,0523191909@super.student.com
246,אינדוסטריה אגריקולה,51,0545893951,0545893951@super.student.com
247,אינדיאן סאמר קו אופ אינק,18,0532257887,0532257887@super.student.com
248,אינוורסינס פריסקו,58,0557854295,0557854295@super.student.com
249,אינטרסן,10,0582910629,0582910629@super.student.com
250,אינטרקוסמא,10,0532613303,0532613303@super.student.com
251,איניבידואל-שסטו,10,0575457112,0575457112@super.student.com
252,איפק,14,0508165403,0508165403@super.student.com
253,איקה חקלאות,10,0577028655,0577028655@super.student.com
254,אל.אל.סי ג'\ייקובס דאו א,28,0586055827,0586055827@super.student.com
255,אלבגינו,9,0506802831,0506802831@super.student.com
256,אלגרצ'ו,10,0502751359,0502751359@super.student.com
257,אלדור,62,0589050338,0589050338@super.student.com
258,אלדס פודס,24,0573194204,0573194204@super.student.com
259,אלון שלו,10,0576236839,0576236839@super.student.com
260,"אלטיה קורפ, הלסינקי, פינ",54,0528752105,0528752105@super.student.com
261,אלטינמארקה,14,0532158460,0532158460@super.student.com
262,אליעד בית בד בגולן,10,0557241804,0557241804@super.student.com
263,אליף פלסטיק,33,0551168138,0551168138@super.student.com
264,אלכסנדר גורדון ושות'\,5,0522018386,0522018386@super.student.com
265,אלסום ביגנדו,10,0579836098,0579836098@super.student.com
266,אלפיה,2,0526720393,0526720393@super.student.com
267,אלפרד ריטר,2,0523162598,0523162598@super.student.com
268,אלפרו C.V.A,8,0548605821,0548605821@super.student.com
269,אלת'אה אס.פי.איי,31,0569047234,0569047234@super.student.com
270,אם החיטה,10,0534445069,0534445069@super.student.com
271,אמיליאנה קונסרב סוסייטה,3,0563031217,0563031217@super.student.com
272,אמיליה קוסמטיקס,14,0508587496,0508587496@super.student.com
273,אמיליה קוסמטיקס בע'\'\מ,10,0589881481,0589881481@super.student.com
274,אמיליה קוסמטיקס בעמ,10,0522460675,0522460675@super.student.com
275,אמיר פלג,10,0512819509,0512819509@super.student.com
276,אנדורס,6,0554424596,0554424596@super.student.com
277,אנסטל מילק kg,16,0504691762,0504691762@super.student.com
278,אנסטסיו,47,0564322115,0564322115@super.student.com
279,אנרג'ייזר,33,0563894332,0563894332@super.student.com
280,אס סי ג'ונסון,9,0548093280,0548093280@super.student.com
281,אס סי מודסט,55,0521723343,0521723343@super.student.com
282,אס קפקס קימיה,10,0544904009,0544904009@super.student.com
283,אס.סי.ג'\ונסון מידרכט,4,0555666080,0555666080@super.student.com
284,"אס.סי.ג'\ונסון מידרכט, ה",4,0589519446,0589519446@super.student.com
285,אס.פי.דז.או.או.,9,0503874764,0503874764@super.student.com
286,אסטוניש,5,0545945503,0545945503@super.student.com
287,אסטוניש -לידס,5,0526091688,0526091688@super.student.com
288,אסיאטיק אגרו אינדוסטרי,22,0508232549,0508232549@super.student.com
289,אסיאן אליאנס,22,0562593252,0562593252@super.student.com
290,אסיף תעשיות מזון,10,0562178851,0562178851@super.student.com
291,"אסיף תעשיות מזון בע""\מ",10,0549058908,0549058908@super.student.com
292,אסם,62,0508509601,0508509601@super.student.com
293,"אסם השקעות בע""\מ",10,0578152252,0578152252@super.student.com
294,"אסם השקעות בע""\מ )מפעל ב",10,0536306379,0536306379@super.student.com
295,"אסם השקעות בע""מ",10,0561450948,0561450948@super.student.com
296,אסם יקנעם,10,0586810599,0586810599@super.student.com
297,אסק פסטה,14,0538342862,0538342862@super.student.com
298,אסקום קונפקשיין,2,0507219001,0507219001@super.student.com
299,אף.ג'\יי.סנצ'\ז סוקחורס,19,0538075258,0538075258@super.student.com
300,אפקט טבעי,10,0577458908,0577458908@super.student.com
301,אקו ביט,9,0516041932,0516041932@super.student.com
302,אקו וויט,9,0532666551,0532666551@super.student.com
303,אקווה מינרלה סאן בנדטו ב,3,0575287094,0575287094@super.student.com
304,אקסן קוסמטיק,14,0584455822,0584455822@super.student.com
305,אקספולנקה,53,0501076792,0501076792@super.student.com
306,אקספורסדורה לוס,49,0587356644,0587356644@super.student.com
307,אר גי אם תעשיות,10,0564085120,0564085120@super.student.com
308,אר. טווינינגס אנד קומפני,9,0552407485,0552407485@super.student.com
309,אריויה ס.א.,21,0578976138,0578976138@super.student.com
310,ארלה פודס אמבה,37,0574879260,0574879260@super.student.com
311,אשבול,10,0562920701,0562920701@super.student.com
312,אשבל בעמ,10,0582579995,0582579995@super.student.com
313,אשפלסט,22,0584733598,0584733598@super.student.com
314,אתי,14,0503718406,0503718406@super.student.com
315,"ב.א. מזון בע""\מ",10,0511047352,0511047352@super.student.com
316,באלסן,9,0544434031,0544434031@super.student.com
317,בובארד איטליה אס.פי.איי,3,0542820429,0542820429@super.student.com
318,בוטו,33,0554681874,0554681874@super.student.com
319,בולטון,3,0529571749,0529571749@super.student.com
320,"בולטון אלימנטרי בע""\מ",3,0504726375,0504726375@super.student.com
321,בומד,2,0583655396,0583655396@super.student.com
322,בונגה פולין,9,0568915147,0568915147@super.student.com
323,בונומי ס.פ.א,3,0511489230,0511489230@super.student.com
324,בונז'ור,10,0572059063,0572059063@super.student.com
325,בוסקה,3,0507719130,0507719130@super.student.com
326,בוסתן עשבי תיבול,10,0562131918,0562131918@super.student.com
327,בייבי פסטה,10,0557034271,0557034271@super.student.com
328,בייגל את בייגל מזון 198),10,0546463899,0546463899@super.student.com
329,ביירסדורף,14,0545505649,0545505649@super.student.com
330,ביירסדורץ,10,0501432255,0501432255@super.student.com
331,בים סנטורי,18,0584662007,0584662007@super.student.com
332,בינגו ס.איי,21,0523687838,0523687838@super.student.com
333,בינו,10,0551110873,0551110873@super.student.com
334,ביסנצורי,19,0525916047,0525916047@super.student.com
335,ביסקוויט סנט ג'\ורג'\,6,0573407047,0573407047@super.student.com
336,ביסקוויטס טור ד'\אלבון,6,0582489477,0582489477@super.student.com
337,ביסקוטר ת.ס הרנטיס,8,0577636655,0577636655@super.student.com
338,"ביסקול בע""מ",10,0515691153,0515691153@super.student.com
339,"בית השיטה תעשיות בע""\מ",10,0513402014,0513402014@super.student.com
340,בית ויסוצקי,10,0574417900,0574417900@super.student.com
341,בית יצחק,10,0538321985,0538321985@super.student.com
342,בית-השיטה עסיס תעשיות מז,10,0581356617,0581356617@super.student.com
343,"בית-השיטה תעשיות בע""\מ",10,0544877859,0544877859@super.student.com
344,בלדי,47,0558469777,0558469777@super.student.com
345,בלו גלו,14,0529025032,0529025032@super.student.com
346,בלקוני,3,0555247623,0555247623@super.student.com
347,בן & ג'\ריס,18,0549479561,0549479561@super.student.com
348,בנדיקטינר וויצבראו,2,0526883052,0526883052@super.student.com
349,בני דרום,10,0539461943,0539461943@super.student.com
350,בנליין פודס,36,0559829458,0559829458@super.student.com
351,בסט סין,33,0522602223,0522602223@super.student.com
352,"בקרדי בע""מ",2,0515977116,0515977116@super.student.com
353,בקרדי בעמ,2,0519145208,0519145208@super.student.com
354,בר רב מפעלי תעשיה,10,0512964911,0512964911@super.student.com
355,בר רב מפעלי תעשייה והשקע,10,0541026443,0541026443@super.student.com
356,בראשית,10,0531818218,0531818218@super.student.com
357,"ברט בע""מ",10,0517308163,0517308163@super.student.com
358,בריגן קי ג'י,2,0585491138,0585491138@super.student.com
359,בריגן קי. ג'י,2,0562558163,0562558163@super.student.com
360,ברילה,10,0558184869,0558184869@super.student.com
361,ג'\ון ווקר ובניו,5,0506489050,0506489050@super.student.com
362,ג'\וני ווקר ובניו,5,0504628131,0504628131@super.student.com
363,ג'\ונסון אנד ג'\ונסון,21,0572533041,0572533041@super.student.com
364,ג'\ייקובס דאו אגברטס,6,0526474607,0526474607@super.student.com
365,ג'\ייקובס דאו אגברטס צרפ,6,0531220172,0531220172@super.student.com
366,ג'\ייקובס דאו אגרבטס צרפ,6,0509911806,0509911806@super.student.com
367,"ג'\ייקובס דאו אגרבטס, צר",6,0586342774,0586342774@super.student.com
368,ג'\ילט,18,0524306453,0524306453@super.student.com
369,ג'\קובס דאו אגברטס צרפת,6,0516737652,0516737652@super.student.com
370,ג'וני ווקר,5,0568257322,0568257322@super.student.com
371,ג'ונסון,35,0576250249,0576250249@super.student.com
372,ג'ונסונס בייבי,9,0548438851,0548438851@super.student.com
373,ג'יי.די.אי.,28,0555085938,0555085938@super.student.com
374,ג'מס,10,0542683157,0542683157@super.student.com
375,ג'נרל מילס,49,0535206560,0535206560@super.student.com
376,"ג.מ טעם הארץ בע""\ם",10,0512776226,0512776226@super.student.com
377,גאבה,1,0555889254,0555889254@super.student.com
378,גאטא קוסמטיקה,54,0575909810,0575909810@super.student.com
379,גאטטיקו איטליה,3,0525283109,0525283109@super.student.com
380,גבינות משק יעקבס,10,0562190789,0562190789@super.student.com
381,גו פרוסלבה,19,0543077024,0543077024@super.student.com
382,גוד פוד פרודקטס,9,0552746361,0552746361@super.student.com
383,גודייבה,14,0526487643,0526487643@super.student.com
384,גונן שדה,10,0538547986,0538547986@super.student.com
385,גזר שליט,10,0515022956,0515022956@super.student.com
386,גידה,14,0559504292,0559504292@super.student.com
387,גידולי אגו,10,0569374947,0569374947@super.student.com
388,גידרון,10,0532585367,0532585367@super.student.com
389,גילרו,10,0569747462,0569747462@super.student.com
390,"גילרו בע""\מ",10,0568933490,0568933490@super.student.com
391,גימי פרודוכטס בי וי,4,0511009153,0511009153@super.student.com
392,גיקובס דאו אגברטס צרפת,6,0551772498,0551772498@super.student.com
393,גלידות נסטלה,10,0556595104,0556595104@super.student.com
394,גלידות נסטלה )נגה גלידות,10,0531354497,0531354497@super.student.com
395,גלידות פלדמן,10,0502379520,0502379520@super.student.com
396,"גלידות שטראוס בע""\מ, רח\",10,0556020415,0556020415@super.student.com
397,"גלידת שטראוס בע""\מ",10,0582972213,0582972213@super.student.com
398,"גלידת שטראוס בע""\מ רח'\",10,0512288317,0512288317@super.student.com
399,"גלידת שטראוס בע""\מ, רח'\",10,0527728122,0527728122@super.student.com
400,גליל כימיקלים,10,0509239474,0509239474@super.student.com
401,גליקסמן,10,0546996909,0546996909@super.student.com
402,גניר,10,0574786006,0574786006@super.student.com
403,גרופה אינקו,9,0549961937,0549961937@super.student.com
404,גריי גוס,6,0552202766,0552202766@super.student.com
405,גרנט'ס,7,0576195131,0576195131@super.student.com
406,גרנייה טיפוח,8,0547882603,0547882603@super.student.com
407,גת,10,0524013292,0524013292@super.student.com
408,גת גבעת חיים,10,0565309115,0565309115@super.student.com
409,דאליאן גואופואקאטיק,33,0521753570,0521753570@super.student.com
410,דארי קוספאט אס. איי. או,38,0543535794,0543535794@super.student.com
411,דגנית עין בר,10,0586397973,0586397973@super.student.com
412,דגנית עין בר תעשיות מזון,10,0528739345,0528739345@super.student.com
413,דגת הארץ,10,0529465804,0529465804@super.student.com
414,דובל מורטגט,8,0572196184,0572196184@super.student.com
415,"דובק בע""מ",10,0521535260,0521535260@super.student.com
416,דודו איטליאן פרודקטס בע\,10,0539404299,0539404299@super.student.com
417,דויד קמפרי,3,0532864344,0532864344@super.student.com
418,דורות,10,0575783861,0575783861@super.student.com
419,דורינג,1,0513114269,0513114269@super.student.com
420,דורסל,8,0567116360,0567116360@super.student.com
421,די.פי.אל,10,0538182423,0538182423@super.student.com
422,די.פי.אל תעשיות מוצרים ח,10,0571418811,0571418811@super.student.com
423,דיאג'\ו,3,0557315605,0557315605@super.student.com
424,דילייט,10,0579227206,0579227206@super.student.com
425,דינמיק,10,0511476474,0511476474@super.student.com
426,דינמיק תעשיות מגבונים,10,0578008155,0578008155@super.student.com
427,דלה פרוטה,3,0543866685,0543866685@super.student.com
428,דלה פרוטה וינסנזו ספא,3,0581393630,0581393630@super.student.com
429,דלידג - נטו,49,0519678805,0519678805@super.student.com
430,דלידג בעמ,10,0519354640,0519354640@super.student.com
431,דנאגיס,10,0519628912,0519628912@super.student.com
432,דראגסבייאק,37,0538757585,0538757585@super.student.com
433,דרדנל אוננטאס גידה,14,0527733909,0527733909@super.student.com
434,דרוגיה ואלימנטרי אס.אר.א,3,0585126019,0585126019@super.student.com
435,"דרך השוקולד ,1 צפת 13404",10,0549789180,0549789180@super.student.com
436,"ה.י היינץ הולדינג בי.וי,",4,0544860259,0544860259@super.student.com
437,הגביע,10,0564242301,0564242301@super.student.com
438,"הגביע מוצרי וופלים בע""\מ",10,0559861403,0559861403@super.student.com
439,"הגביע מוצרי ופלים בע""\מ",10,0505185944,0505185944@super.student.com
440,הדיקלאים,10,0509780327,0509780327@super.student.com
441,הורמל,18,0554152716,0554152716@super.student.com
442,החברה המרכזית לייצור משק,10,0578878662,0578878662@super.student.com
443,היי וונג,42,0505320151,0505320151@super.student.com
444,היי סישל סוהן טראבן,2,0533174918,0533174918@super.student.com
445,היין סלסטיאל גרופ,18,0513442087,0513442087@super.student.com
446,היינץ,19,0569825399,0569825399@super.student.com
447,היינקן,10,0552703811,0552703811@super.student.com
448,הכורמים,10,0507943829,0507943829@super.student.com
449,הלמה הלום בי.וי,4,0559598460,0559598460@super.student.com
450,הלניק,21,0572876276,0572876276@super.student.com
451,הנדריקס פודס,18,0554263114,0554263114@super.student.com
452,הנמל,50,0501112697,0501112697@super.student.com
453,"הנמל אריזות ושיווק בע""\מ",33,0509773221,0509773221@super.student.com
454,הנסיך,10,0574676938,0574676938@super.student.com
455,הנקל,36,0539902841,0539902841@super.student.com
456,הנקל סוד,57,0552061548,0552061548@super.student.com
457,"הנקל סוד בע""\מ",36,0564043843,0564043843@super.student.com
458,הנקל סוד בעמ,36,0544279085,0544279085@super.student.com
459,הנרי ויליך,4,0538908042,0538908042@super.student.com
460,הר ברכה,10,0514741036,0514741036@super.student.com
461,הרטו,5,0549907313,0549907313@super.student.com
462,"הררית מזון בע""מ",10,0551569632,0551569632@super.student.com
463,הרשי,18,0543657192,0543657192@super.student.com
464,השחר,10,0581359978,0581359978@super.student.com
465,השחר העולה,10,0521924858,0521924858@super.student.com
466,ואל קור קורסניני אס אנ ס,3,0576332512,0576332512@super.student.com
467,ואליו אל.טי.די,54,0553994014,0553994014@super.student.com
468,וגאן איסלר,14,0579893668,0579893668@super.student.com
469,וויטליה,56,0548033571,0548033571@super.student.com
470,ווייקה פארמס,5,0529594835,0529594835@super.student.com
471,וויסר קאשנדל בי.וי,4,0581999731,0581999731@super.student.com
472,וורטמן,20,0555641387,0555641387@super.student.com
473,וורנר טורנש,2,0578188783,0578188783@super.student.com
474,וטנ,6,0535814401,0535814401@super.student.com
475,"ויינשטפן, ת.ד 1155 פרייז",2,0549774573,0549774573@super.student.com
476,ויליגר,22,0527387293,0527387293@super.student.com
477,ויליגר תעשיות בעמ,45,0557387410,0557387410@super.student.com
478,וינובלה,6,0571875166,0571875166@super.student.com
479,ויסוצקי,10,0585141477,0585141477@super.student.com
480,ון דר מולן,4,0548811577,0548811577@super.student.com
481,ז'נטי אס.פי.אי,3,0584146673,0584146673@super.student.com
482,זאנגזו גאנגצ'נג,33,0568482606,0568482606@super.student.com
483,זהבי הכרם,10,0576849455,0576849455@super.student.com
484,זוגלובק,10,0568796206,0568796206@super.student.com
485,זוהר דליה,10,0506482822,0506482822@super.student.com
486,זיתא,10,0588007780,0588007780@super.student.com
487,זיתא תעשיות שמן זיתt\,10,0513802421,0513802421@super.student.com
488,זיתור סאן גידה סני וטיקר,14,0519175980,0519175980@super.student.com
489,זלצבורג שוקולד,16,0505121834,0505121834@super.student.com
490,זנטי,8,0515731043,0515731043@super.student.com
491,"זנלכל בע""\מ",10,0508793315,0508793315@super.student.com
492,חבל מעון,10,0507493608,0507493608@super.student.com
493,חברת מלח הארץ אילת בעמ,52,0539238728,0539238728@super.student.com
494,חוגלה קימברלי,43,0529093361,0529093361@super.student.com
495,חוות גבעות עולם,10,0548625316,0548625316@super.student.com
496,חוות פטריות תקוע,33,0561040755,0561040755@super.student.com
497,חוות שמפניון,10,0585146513,0585146513@super.student.com
498,חוות תקוע,10,0557416954,0557416954@super.student.com
499,חומקס קומר קומרסאליזדורה,61,0564603513,0564603513@super.student.com
500,חטיפים מן הטבע,10,0572714179,0572714179@super.student.com
501,"חטיפים מן הטבע בע""\מ",10,0521137780,0521137780@super.student.com
502,חיים פסקוביץ,10,0516190222,0516190222@super.student.com
503,חמים וטעים,10,0548374197,0548374197@super.student.com
504,חמסי,10,0554397758,0554397758@super.student.com
505,חצר כנרת מוצרי תמר,10,0518189628,0518189628@super.student.com
506,טאומי אינטרפרייד,22,0538023113,0538023113@super.student.com
507,טאי רזידנט,22,0556732501,0556732501@super.student.com
508,טאפאדונגפורן קוקנט,33,0531709503,0531709503@super.student.com
509,טבע דלי,10,0517888053,0517888053@super.student.com
510,טבעול,10,0528487484,0528487484@super.student.com
511,"טבעול צ'\כיה בע""\מ",27,0549269722,0549269722@super.student.com
512,"טבעול תעשיות מזון בע""\מ",10,0519737372,0519737372@super.student.com
513,טבעוף,10,0532582581,0532582581@super.student.com
514,טוטיז,21,0556432700,0556432700@super.student.com
515,טוטיז-בינגו סיאי,21,0518978075,0518978075@super.student.com
516,טומי,1,0504689140,0504689140@super.student.com
517,טופגאם תעשיות ממתקים בעמ,10,0508290993,0508290993@super.student.com
518,"טחינה ירושליים בע""מ",10,0507326609,0507326609@super.student.com
519,"טחינה ירושלים בע""מ",10,0531586639,0531586639@super.student.com
520,טחנות ישראליות בעמ,10,0509206667,0509206667@super.student.com
521,טחנות קמח שטיבל באר שבע,10,0547646921,0547646921@super.student.com
522,טחנת קמח דגן לישראל,10,0518431503,0518431503@super.student.com
523,טיב טירת צבי 2000,10,0541376269,0541376269@super.student.com
524,טיבון ויל,10,0564265595,0564265595@super.student.com
525,טיבון ויל - נטו,10,0565659898,0565659898@super.student.com
526,"טיבון ויל אחזקות בע""\מ",10,0536147714,0536147714@super.student.com
527,טיבון ויל אחזקות בעמ,10,0552867487,0552867487@super.student.com
528,טיקנה,2,0528152837,0528152837@super.student.com
529,טירת צבי,10,0513096526,0513096526@super.student.com
530,טמפו,10,0573458464,0573458464@super.student.com
531,"טמפו משקאות בע""\מ",10,0581842085,0581842085@super.student.com
532,"טמפו משקאות בע""מ",10,0543873449,0543873449@super.student.com
533,טמפו משקאות בע''מ,10,0503016770,0503016770@super.student.com
534,טמפו משקאות בעמ,10,0504457593,0504457593@super.student.com
535,"טעמי הגליל בע""\מ",10,0573543354,0573543354@super.student.com
536,טרה,10,0569205399,0569205399@super.student.com
537,טרופיקל,10,0528012396,0528012396@super.student.com
538,טרופיקל דגיל,10,0586386945,0586386945@super.student.com
539,טרופיקל דגיל בעמ,10,0504240399,0504240399@super.student.com
